eva_count_list,eva_value_list,control_tag_list,servers_list
1,1.706911325454712,S,"('192.168.0.15', 5001)"
2,3.028299570083618,S,"('192.168.0.15', 5001)"
3,3.007638454437256,S,"('192.168.0.15', 5001)"
4,4.490561485290527,S,"('192.168.0.15', 5001)"
5,3.5915074348449707,S,"('192.168.0.15', 5001)"
6,3.765514850616455,S,"('192.168.0.15', 5001)"
7,3.870929718017578,S,"('192.168.0.15', 5001)"
8,10.786507606506348,S,"('192.168.0.15', 5001)"
9,9.314103364944458,S,"('192.168.0.15', 5001)"
10,12.349462270736694,S,"('192.168.0.15', 5001)"
11,6.415796518325806,S,"('192.168.0.15', 5001)"
12,10.38098955154419,S,"('192.168.0.15', 5001)"
13,7.948425531387329,S,"('192.168.0.15', 5001)"
14,6.699602842330933,S,"('192.168.0.15', 5001)"
15,7.5358476638793945,S,"('192.168.0.15', 5001)"
16,9.99986457824707,S,"('192.168.0.15', 5001)"
17,7.389819860458374,S,"('192.168.0.15', 5001)"
18,5.634881019592285,S,"('192.168.0.15', 5001)"
19,9.358313798904419,S,"('192.168.0.15', 5001)"
20,2.520920515060425,S,"('192.168.0.15', 5001)"
21,1.9562304019927979,S,"('192.168.0.15', 5001)"
22,2.1142303943634033,S,"('192.168.0.15', 5001)"
23,3.3808138370513916,S,"('192.168.0.15', 5001)"
24,4.205307245254517,S,"('192.168.0.15', 5001)"
25,6.725867748260498,S,"('192.168.0.15', 5001)"
26,7.795649766921997,S,"('192.168.0.15', 5001)"
27,10.6398606300354,S,"('192.168.0.15', 5001)"
28,12.23853850364685,S,"('192.168.0.15', 5001)"
29,9.847087383270264,S,"('192.168.0.15', 5001)"
30,8.206911563873291,S,"('192.168.0.15', 5001)"
31,9.242939949035645,S,"('192.168.0.15', 5001)"
32,3.2707860469818115,S,"('192.168.0.15', 5001)"
33,3.8942787647247314,S,"('192.168.0.15', 5001)"
34,2.6205086708068848,S,"('192.168.0.15', 5001)"
35,5.366936445236206,S,"('192.168.0.15', 5001)"
36,4.589022397994995,S,"('192.168.0.15', 5001)"
37,8.1063711643219,S,"('192.168.0.15', 5001)"
38,13.157951354980469,S,"('192.168.0.15', 5001)"
