eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
1,65.05563855171204,S,"('192.168.0.15', 5001)",1752196974.5427122
2,62.250829219818115,S,"('192.168.0.17', 5001)",1752196981.6108031
3,85.18392276763916,S,"('192.168.0.17', 5001)",1752196986.6870928
4,39.15071487426758,S,"('192.168.0.17', 5001)",1752196988.003865
5,32.173736333847046,S,"('192.168.0.16', 5001)",1752196989.6682706
6,152.00480771064758,S,"('192.168.0.18', 5001)",1752196993.4128609
7,158.82078099250793,S,"('192.168.0.18', 5001)",1752196995.26853
8,165.15316200256348,S,"('192.168.0.15', 5001)",1752196995.5804868
9,61.44421100616455,S,"('192.168.0.18', 5001)",1752196996.4688993
10,179.82739114761353,S,"('192.168.0.17', 5001)",1752196997.0359716
11,182.58718729019165,S,"('192.168.0.17', 5001)",1752196999.2036488
12,131.45145988464355,S,"('192.168.0.16', 5001)",1752197000.3853118
13,205.40041136741638,S,"('192.168.0.16', 5001)",1752197000.54447
14,204.28830289840698,S,"('192.168.0.16', 5001)",1752197001.5807693
15,20.50112533569336,S,"('192.168.0.17', 5001)",1752197002.5144837
16,35.5160973072052,S,"('192.168.0.17', 5001)",1752197002.6072917
17,86.32816481590271,S,"('192.168.0.17', 5001)",1752197003.6251502
18,81.95095777511597,S,"('192.168.0.17', 5001)",1752197004.6031003
19,95.36132431030273,S,"('192.168.0.17', 5001)",1752197006.8530786
20,21.925082445144653,S,"('192.168.0.17', 5001)",1752197007.2943165
21,151.77732920646667,S,"('192.168.0.17', 5001)",1752197008.7953746
22,47.66619944572449,S,"('192.168.0.17', 5001)",1752197009.281524
23,103.61435985565186,S,"('192.168.0.16', 5001)",1752197009.4265952
24,35.14283776283264,S,"('192.168.0.18', 5001)",1752197011.1804955
25,72.17500805854797,S,"('192.168.0.15', 5001)",1752197015.5920718
26,125.63297390937805,S,"('192.168.0.15', 5001)",1752197023.241668
27,31.33675241470337,S,"('192.168.0.16', 5001)",1752197024.9297101
28,69.37498545646667,S,"('192.168.0.15', 5001)",1752197025.9273343
29,142.74838066101074,S,"('192.168.0.17', 5001)",1752197028.534735
30,27.805588960647583,S,"('192.168.0.16', 5001)",1752197031.7633352
31,67.93485879898071,S,"('192.168.0.15', 5001)",1752197033.9693499
32,174.3193097114563,S,"('192.168.0.18', 5001)",1752197034.1444612
33,34.83923316001892,S,"('192.168.0.17', 5001)",1752197035.367474
34,45.208648920059204,S,"('192.168.0.16', 5001)",1752197036.9618185
35,38.507895708084106,S,"('192.168.0.17', 5001)",1752197041.886985
36,116.82346820831299,S,"('192.168.0.17', 5001)",1752197044.907068
37,91.82014012336731,S,"('192.168.0.15', 5001)",1752197045.2929418
38,113.71012353897095,S,"('192.168.0.18', 5001)",1752197045.5496364
39,88.41981601715088,S,"('192.168.0.15', 5001)",1752197049.8756614
40,31.5788836479187,S,"('192.168.0.16', 5001)",1752197051.6264586
41,108.45134615898132,S,"('192.168.0.17', 5001)",1752197054.574911
