eva_count_list,eva_value_list,control_tag_list,servers_list
1,4.0838751792907715,S,"('192.168.0.18', 5001)"
2,3.8852044343948364,S,"('192.168.0.16', 5001)"
3,5.118732452392578,S,"('192.168.0.17', 5001)"
4,4.672711730003357,S,"('192.168.0.18', 5001)"
5,4.604896116256714,S,"('192.168.0.15', 5001)"
6,4.2277659972508745,S,"('192.168.0.15', 5001)"
7,4.0543395451137,S,"('192.168.0.15', 5001)"
8,3.9830104410648346,S,"('192.168.0.17', 5001)"
9,4.542305284076267,S,"('192.168.0.16', 5001)"
10,5.050311470031739,S,"('192.168.0.17', 5001)"
11,4.901690309697932,S,"('192.168.0.18', 5001)"
12,4.742125113805135,S,"('192.168.0.16', 5001)"
13,5.00316308094905,S,"('192.168.0.17', 5001)"
14,4.874739016805377,S,"('192.168.0.18', 5001)"
15,5.029642009735108,S,"('192.168.0.17', 5001)"
16,4.8673500418663025,S,"('192.168.0.16', 5001)"
17,4.784828172010534,S,"('192.168.0.18', 5001)"
18,4.709568606482612,S,"('192.168.0.18', 5001)"
19,4.584704399108887,S,"('192.168.0.15', 5001)"
20,4.531533885002136,S,"('192.168.0.18', 5001)"
21,4.495198828833444,S,"('192.168.0.18', 5001)"
22,4.470838470892473,S,"('192.168.0.18', 5001)"
23,4.8034232388372,S,"('192.168.0.17', 5001)"
24,5.018964568773906,S,"('192.168.0.17', 5001)"
25,5.423808860778808,S,"('192.168.0.15', 5001)"
26,5.351478035633381,S,"('192.168.0.18', 5001)"
27,5.2411714394887285,S,"('192.168.0.16', 5001)"
28,5.337075003555843,S,"('192.168.0.17', 5001)"
29,5.327986117067008,S,"('192.168.0.16', 5001)"
30,5.323135789235433,S,"('192.168.0.16', 5001)"
31,5.402337205025457,S,"('192.168.0.17', 5001)"
32,5.332200773060322,S,"('192.168.0.15', 5001)"
33,5.244991071296461,S,"('192.168.0.15', 5001)"
34,5.1865251765531655,S,"('192.168.0.15', 5001)"
35,5.159968546458653,S,"('192.168.0.15', 5001)"
36,5.18010104364819,S,"('192.168.0.18', 5001)"
37,5.216062777751201,S,"('192.168.0.16', 5001)"
38,5.314599363427413,S,"('192.168.0.16', 5001)"
39,5.374483499771509,S,"('192.168.0.17', 5001)"
40,5.566806870698929,S,"('192.168.0.17', 5001)"
41,5.531813057457528,S,"('192.168.0.15', 5001)"
42,5.8432849191484,S,"('192.168.0.15', 5001)"
43,5.826786567998487,S,"('192.168.0.16', 5001)"
44,5.747652747414329,S,"('192.168.0.15', 5001)"
45,5.715701113806831,S,"('192.168.0.17', 5001)"
46,5.764329537101414,S,"('192.168.0.18', 5001)"
47,5.6989467651286025,S,"('192.168.0.16', 5001)"
48,5.669824585318565,S,"('192.168.0.17', 5001)"
49,5.742360854635433,S,"('192.168.0.15', 5001)"
50,5.723933644294739,S,"('192.168.0.15', 5001)"
51,5.703934092521667,S,"('192.168.0.17', 5001)"
52,5.791916484832764,S,"('192.168.0.15', 5001)"
53,5.70584930896759,S,"('192.168.0.15', 5001)"
54,5.719360251426696,S,"('192.168.0.17', 5001)"
55,5.816128401756287,S,"('192.168.0.15', 5001)"
56,5.938751187324524,S,"('192.168.0.17', 5001)"
57,6.0311605167388915,S,"('192.168.0.17', 5001)"
58,6.028112788200378,S,"('192.168.0.18', 5001)"
59,6.00612015247345,S,"('192.168.0.17', 5001)"
60,5.883927426338196,S,"('192.168.0.18', 5001)"
61,5.999639754295349,S,"('192.168.0.17', 5001)"
62,6.013329496383667,S,"('192.168.0.18', 5001)"
63,6.015897727012634,S,"('192.168.0.17', 5001)"
64,6.004861664772034,S,"('192.168.0.16', 5001)"
65,5.934197039604187,S,"('192.168.0.18', 5001)"
66,5.942145800590515,S,"('192.168.0.15', 5001)"
67,6.043257584571839,S,"('192.168.0.17', 5001)"
68,6.089811005592346,S,"('192.168.0.16', 5001)"
69,6.181773419380188,S,"('192.168.0.16', 5001)"
70,6.326032934188842,S,"('192.168.0.17', 5001)"
71,6.31762939453125,S,"('192.168.0.16', 5001)"
72,6.5366320276260375,S,"('192.168.0.17', 5001)"
73,6.36846248626709,S,"('192.168.0.15', 5001)"
74,6.318321485519409,S,"('192.168.0.17', 5001)"
75,6.194598851203918,S,"('192.168.0.16', 5001)"
76,6.195651917457581,S,"('192.168.0.15', 5001)"
77,6.900118103027344,S,"('192.168.0.16', 5001)"
78,6.79893506526947,S,"('192.168.0.15', 5001)"
79,6.8032301330566405,S,"('192.168.0.17', 5001)"
80,6.8856599283218385,S,"('192.168.0.16', 5001)"
81,6.806677803993225,S,"('192.168.0.18', 5001)"
82,6.819476780891418,S,"('192.168.0.18', 5001)"
83,6.823624486923218,S,"('192.168.0.16', 5001)"
84,6.840611672401428,S,"('192.168.0.18', 5001)"
85,6.850411968231201,S,"('192.168.0.15', 5001)"
86,6.791145491600036,S,"('192.168.0.16', 5001)"
87,6.713023772239685,S,"('192.168.0.15', 5001)"
88,6.597005977630615,S,"('192.168.0.16', 5001)"
89,6.532270021438599,S,"('192.168.0.17', 5001)"
90,6.442655243873596,S,"('192.168.0.18', 5001)"
91,6.413066124916076,S,"('192.168.0.15', 5001)"
92,6.138280582427979,S,"('192.168.0.18', 5001)"
93,6.176360268592834,S,"('192.168.0.16', 5001)"
94,6.290737924575805,S,"('192.168.0.15', 5001)"
95,6.350713167190552,S,"('192.168.0.15', 5001)"
96,6.385095119476318,S,"('192.168.0.17', 5001)"
97,6.418948230743408,S,"('192.168.0.17', 5001)"
98,6.478620595932007,S,"('192.168.0.18', 5001)"
