eva_count_list,eva_value_list,control_tag_list,servers_list
1,3.085340738296509,S,"('192.168.0.15', 5001)"
2,3.3796900510787964,S,"('192.168.0.15', 5001)"
3,3.7701502641042075,S,"('192.168.0.15', 5001)"
4,3.585368037223816,S,"('192.168.0.15', 5001)"
5,3.3340776920318604,S,"('192.168.0.15', 5001)"
6,3.1454678773880005,S,"('192.168.0.15', 5001)"
7,3.0699738434382846,S,"('192.168.0.15', 5001)"
8,3.032785028219223,S,"('192.168.0.15', 5001)"
9,3.0156481001112194,S,"('192.168.0.15', 5001)"
10,2.95862193107605,S,"('192.168.0.15', 5001)"
11,2.919191750613126,S,"('192.168.0.15', 5001)"
12,2.905675709247589,S,"('192.168.0.15', 5001)"
13,2.8925454433147726,S,"('192.168.0.15', 5001)"
14,3.0538020815168108,S,"('192.168.0.15', 5001)"
15,3.1478585879007976,S,"('192.168.0.15', 5001)"
16,3.1781474351882935,S,"('192.168.0.15', 5001)"
17,3.2796253877527572,S,"('192.168.0.15', 5001)"
18,3.2331699000464544,S,"('192.168.0.15', 5001)"
19,3.2057748342815198,S,"('192.168.0.15', 5001)"
20,3.1603787660598757,S,"('192.168.0.15', 5001)"
21,3.161283470335461,S,"('192.168.0.15', 5001)"
22,3.12260517207059,S,"('192.168.0.15', 5001)"
23,3.0992137141849683,S,"('192.168.0.15', 5001)"
24,3.070669690767924,S,"('192.168.0.15', 5001)"
25,3.0596552658081055,S,"('192.168.0.15', 5001)"
26,3.0319227897203884,S,"('192.168.0.15', 5001)"
27,3.0197851392957897,S,"('192.168.0.15', 5001)"
28,3.067724355629512,S,"('192.168.0.15', 5001)"
29,3.113886331689769,S,"('192.168.0.15', 5001)"
30,3.12047377427419,S,"('192.168.0.15', 5001)"
31,3.0944649481004283,S,"('192.168.0.15', 5001)"
32,3.0909177735447884,S,"('192.168.0.15', 5001)"
33,3.1029775359413843,S,"('192.168.0.15', 5001)"
34,3.1449857669718124,S,"('192.168.0.15', 5001)"
35,3.1308080196380614,S,"('192.168.0.15', 5001)"
36,3.134567300478617,S,"('192.168.0.15', 5001)"
37,3.135184996836894,S,"('192.168.0.15', 5001)"
38,3.1158381575032283,S,"('192.168.0.15', 5001)"
39,3.137664929414407,S,"('192.168.0.15', 5001)"
40,3.1897569596767426,S,"('192.168.0.15', 5001)"
41,3.178376232705465,S,"('192.168.0.15', 5001)"
42,3.164134315082005,S,"('192.168.0.15', 5001)"
43,3.152101572169814,S,"('192.168.0.15', 5001)"
44,3.145292753523046,S,"('192.168.0.15', 5001)"
45,3.1343844148847793,S,"('192.168.0.15', 5001)"
46,3.1330258949943213,S,"('192.168.0.15', 5001)"
47,3.143782006933334,S,"('192.168.0.15', 5001)"
48,3.132561261455218,S,"('192.168.0.15', 5001)"
49,3.110944528968967,S,"('192.168.0.15', 5001)"
50,3.124655981063843,S,"('192.168.0.15', 5001)"
51,3.11943256855011,S,"('192.168.0.15', 5001)"
52,3.0976206159591673,S,"('192.168.0.15', 5001)"
53,3.0685781955718996,S,"('192.168.0.15', 5001)"
54,3.1282159376144407,S,"('192.168.0.15', 5001)"
55,3.2021581888198853,S,"('192.168.0.15', 5001)"
56,3.209190402030945,S,"('192.168.0.15', 5001)"
57,3.2165693855285644,S,"('192.168.0.15', 5001)"
58,3.212569861412048,S,"('192.168.0.15', 5001)"
59,3.214302396774292,S,"('192.168.0.15', 5001)"
60,3.2360212230682373,S,"('192.168.0.15', 5001)"
61,3.236850562095642,S,"('192.168.0.15', 5001)"
62,3.2305466079711915,S,"('192.168.0.15', 5001)"
63,3.229373459815979,S,"('192.168.0.15', 5001)"
64,3.174647765159607,S,"('192.168.0.15', 5001)"
65,3.140648355484009,S,"('192.168.0.15', 5001)"
66,3.1135043573379515,S,"('192.168.0.15', 5001)"
67,3.0727500438690187,S,"('192.168.0.15', 5001)"
68,3.071509666442871,S,"('192.168.0.15', 5001)"
69,3.0862079524993895,S,"('192.168.0.15', 5001)"
70,3.160845618247986,S,"('192.168.0.15', 5001)"
71,3.222645630836487,S,"('192.168.0.15', 5001)"
72,3.2423119926452637,S,"('192.168.0.15', 5001)"
73,3.2879648351669313,S,"('192.168.0.15', 5001)"
74,3.3254274559020995,S,"('192.168.0.15', 5001)"
75,3.317787914276123,S,"('192.168.0.15', 5001)"
76,3.3438905572891233,S,"('192.168.0.15', 5001)"
77,3.384856605529785,S,"('192.168.0.15', 5001)"
78,3.350226788520813,S,"('192.168.0.15', 5001)"
79,3.3289391136169435,S,"('192.168.0.15', 5001)"
80,3.3468787145614622,S,"('192.168.0.15', 5001)"
81,3.368180742263794,S,"('192.168.0.15', 5001)"
82,3.405152554512024,S,"('192.168.0.15', 5001)"
83,3.394522261619568,S,"('192.168.0.15', 5001)"
84,3.3770326232910155,S,"('192.168.0.15', 5001)"
85,3.4382614707946777,S,"('192.168.0.15', 5001)"
86,3.4718046092987063,S,"('192.168.0.15', 5001)"
