eva_count_list,eva_value_list
1,-0.5648700260569661
2,-0.4883106145584355
3,-0.6678735460703111
4,-0.6468998589009312
5,-0.5921856417575462
6,-0.7136356244197846
7,-0.6666082969114708
8,-0.6399446687108897
9,-0.6038058085028104
10,-0.510927910628262
11,-0.48444529083766186
12,-0.5276836381086651
13,-0.6014819141390739
14,-0.5309069273243233
15,-0.6508904236224515
16,-0.4614705166321772
17,-0.5347327255218358
18,-0.45145404677952994
19,-0.5484777474680425
20,-0.43615427509590965
21,-0.4569790629433392
22,-0.6137215240607639
23,-0.6411386914189728
24,-0.6052162767556831
25,-0.6344047477002046
26,-0.6841428957050063
27,-0.5957151408647446
28,-0.4998222776768003
29,-0.34981090145303523
30,-0.636583621759037
31,-0.6249197262221177
32,-0.6095390658061989
33,-0.522848724139757
34,-0.5459055738515969
35,-0.5838182422917526
36,-0.5242316731209671
37,-0.5777497592754353
38,-0.616723849407669
39,-0.5528741126111022
40,-0.6770722822746129
41,-0.5925635591058006
42,-0.44873060617007443
43,-0.5217909190468816
44,-0.6111364939105154
45,-0.6680448066961363
46,-0.587063401174651
47,-0.6156701431755276
48,-0.3472512015863253
49,-0.6764587008388848
50,-0.6625557495741068
51,-0.5659054078344583
52,-0.5805124095978277
53,-0.5845753231190914
54,-0.5498895469357533
55,-0.6085317592886256
56,-0.585593019147711
57,-0.6036291482640139
58,-0.4729425416383616
59,-0.5252608188874986
60,-0.7233325114920687
61,-0.548959126783579
62,-0.5235591797842782
63,-0.5484166682135153
64,-0.5953853279530241
65,-0.7054486576857678
66,-0.5217898492598849
67,-0.5143901981428698
68,-0.5344674699867717
69,-0.5279314852764475
70,-0.44948128526174463
71,-0.6010976139506983
72,-0.39477069583603563
73,-0.49492595136515566
74,-0.5946252648725531
75,-0.49750423740558
76,-0.5717101038332697
77,-0.4909985603503052
78,-0.5999557322247403
79,-0.4907365087568033
80,-0.515060271510919
81,-0.5638301230085151
82,-0.4481544688031346
83,-0.546997092662423
84,-0.5809378471264927
85,-0.5479653998798447
86,-0.5893638639757075
87,-0.5384740149690017
88,-0.4643383780090491
89,-0.5840629668086156
90,-0.47054121523305914
91,-0.37765121670118795
92,-0.5783889487272422
93,-0.5841985325309113
94,-0.5594432785279151
95,-0.6035374074193323
96,-0.6113761742025215
97,-0.5704054037431071
98,-0.5280988500945554
99,-0.4563417940526877
100,-0.5320232580944986
101,-0.5730843103964286
102,-0.5979297194114862
103,-0.5287216144034429
104,-0.5678965685829703
105,-0.634235188630232
106,-0.6510377615975493
107,-0.5572443840385317
108,-0.707093645019962
109,-0.6242657065319076
110,-0.6293413267138199
111,-0.515967868649479
112,-0.5146826972574569
113,-0.4783571696746566
114,-0.5113521183506126
115,-0.5222028339982362
116,-0.4093949590919149
117,-0.5654823780623965
118,-0.6096063497524964
119,-0.5477613813432127
120,-0.5251180427905057
121,-0.6103376563817298
122,-0.5844495800270508
123,-0.6287724398851107
124,-0.5119449363412526
125,-0.5688139788969334
126,-0.6743834608173765
127,-0.5149784739359313
128,-0.4729349623732001
129,-0.6677765126583927
130,-0.46611745373751245
131,-0.5642746158633931
132,-0.5334689705039961
133,-0.4343716442417708
134,-0.5293618288821051
135,-0.5690363553026183
136,-0.7222294610889024
137,-0.5213160595319402
138,-0.5733948245389786
139,-0.5288763934714512
140,-0.6057743498253519
141,-0.39968040188012677
142,-0.6228529813003636
143,-0.45086314728082544
144,-0.5699708368269871
145,-0.6207523003346291
146,-0.547780779343376
