eva_count_list,eva_value_list,control_tag_list,servers_list
1,8.722054719924927,S,"('192.168.0.18', 5001)"
2,15.858845949172974,S,"('192.168.0.16', 5001)"
3,25.177988052368164,S,"('192.168.0.16', 5001)"
4,22.295496940612793,S,"('192.168.0.16', 5001)"
5,26.375059366226196,S,"('192.168.0.16', 5001)"
6,27.353898763656616,S,"('192.168.0.18', 5001)"
7,26.466402053833008,S,"('192.168.0.17', 5001)"
8,27.57222867012024,S,"('192.168.0.15', 5001)"
9,28.09020757675171,S,"('192.168.0.16', 5001)"
10,31.91669273376465,S,"('192.168.0.17', 5001)"
11,29.221925497055054,S,"('192.168.0.15', 5001)"
12,55.19251775741577,S,"('192.168.0.18', 5001)"
13,35.99914288520813,S,"('192.168.0.15', 5001)"
14,36.410797357559204,S,"('192.168.0.17', 5001)"
15,33.86977744102478,S,"('192.168.0.15', 5001)"
16,36.17220067977905,S,"('192.168.0.15', 5001)"
17,30.507155179977417,S,"('192.168.0.17', 5001)"
18,47.42925810813904,S,"('192.168.0.17', 5001)"
19,55.20865869522095,S,"('192.168.0.16', 5001)"
20,55.7635977268219,S,"('192.168.0.15', 5001)"
21,52.136170387268066,S,"('192.168.0.18', 5001)"
22,17.210887670516968,S,"('192.168.0.15', 5001)"
23,20.78299903869629,S,"('192.168.0.16', 5001)"
24,16.833263635635376,S,"('192.168.0.17', 5001)"
25,19.623485803604126,S,"('192.168.0.18', 5001)"
26,21.089793920516968,S,"('192.168.0.16', 5001)"
27,34.78202509880066,S,"('192.168.0.18', 5001)"
28,21.890286922454834,S,"('192.168.0.17', 5001)"
29,41.25622844696045,S,"('192.168.0.15', 5001)"
30,52.125489950180054,S,"('192.168.0.15', 5001)"
31,33.80687713623047,S,"('192.168.0.15', 5001)"
32,27.60586166381836,S,"('192.168.0.16', 5001)"
33,49.61122369766235,S,"('192.168.0.16', 5001)"
34,29.01894187927246,S,"('192.168.0.16', 5001)"
35,32.865445375442505,S,"('192.168.0.17', 5001)"
