eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
88,5.076459169387817,S,"('192.168.0.15', 5001)",1752112243.8702352
89,5.395389556884766,S,"('192.168.0.17', 5001)",1752112244.4767747
90,2.589275360107422,S,"('192.168.0.18', 5001)",1752112248.8987174
91,3.469014883041382,S,"('192.168.0.16', 5001)",1752112252.6111453
92,6.233828783035278,S,"('192.168.0.17', 5001)",1752112252.9229386
93,7.506680488586426,S,"('192.168.0.17', 5001)",1752112253.608368
94,7.687507390975952,S,"('192.168.0.16', 5001)",1752112254.2292185
95,7.281106948852539,S,"('192.168.0.15', 5001)",1752112256.1079552
96,7.113121032714844,S,"('192.168.0.17', 5001)",1752112256.5569406
97,3.614691734313965,S,"('192.168.0.17', 5001)",1752112263.3895028
98,6.898865461349487,S,"('192.168.0.16', 5001)",1752112264.0943882
99,8.02555775642395,S,"('192.168.0.17', 5001)",1752112264.2403293
100,10.185907363891602,S,"('192.168.0.17', 5001)",1752112265.7587476
101,11.355464935302734,S,"('192.168.0.15', 5001)",1752112266.631559
102,11.659982442855835,S,"('192.168.0.15', 5001)",1752112266.747659
103,12.218578100204468,S,"('192.168.0.16', 5001)",1752112268.1645882
104,12.912971258163452,S,"('192.168.0.15', 5001)",1752112268.4374952
105,12.63198709487915,S,"('192.168.0.15', 5001)",1752112269.9546995
106,13.195163011550903,S,"('192.168.0.15', 5001)",1752112271.5963569
107,14.790626764297485,S,"('192.168.0.18', 5001)",1752112271.990186
108,14.217575311660767,S,"('192.168.0.17', 5001)",1752112272.2891972
109,15.526936531066895,S,"('192.168.0.17', 5001)",1752112272.520302
110,15.518348932266235,S,"('192.168.0.15', 5001)",1752112275.3379526
111,14.409854412078857,S,"('192.168.0.17', 5001)",1752112275.4892583
112,15.485864400863647,S,"('192.168.0.17', 5001)",1752112277.0185397
113,14.925395011901855,S,"('192.168.0.18', 5001)",1752112277.3730686
114,13.863485097885132,S,"('192.168.0.18', 5001)",1752112281.4069169
115,12.927183151245117,S,"('192.168.0.15', 5001)",1752112288.1247106
116,13.345426559448242,S,"('192.168.0.17', 5001)",1752112289.9846005
117,15.79045581817627,S,"('192.168.0.16', 5001)",1752112290.4132137
118,14.230523347854614,S,"('192.168.0.18', 5001)",1752112291.4819775
119,14.366877794265747,S,"('192.168.0.17', 5001)",1752112291.4987814
120,13.341450214385986,S,"('192.168.0.17', 5001)",1752112295.6465003
121,15.095974683761597,S,"('192.168.0.17', 5001)",1752112298.1918435
122,14.728353261947632,S,"('192.168.0.17', 5001)",1752112298.5913336
123,14.07815408706665,S,"('192.168.0.15', 5001)",1752112301.163633
124,13.537059545516968,S,"('192.168.0.16', 5001)",1752112302.1385815
125,7.879128694534302,S,"('192.168.0.18', 5001)",1752112309.4793615
126,12.715041160583496,S,"('192.168.0.17', 5001)",1752112310.481007
127,12.662724018096924,S,"('192.168.0.15', 5001)",1752112312.5320241
