eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
1,57.288647174835205,S,"('192.168.0.15', 5001)",1752156364.888322
2,63.39951515197754,S,"('192.168.0.15', 5001)",1752156365.9261725
3,91.98201060295105,S,"('192.168.0.15', 5001)",1752156370.0115106
4,110.47131681442261,S,"('192.168.0.15', 5001)",1752156378.4182236
5,101.81834816932678,S,"('192.168.0.15', 5001)",1752156379.6277409
6,95.040447473526,S,"('192.168.0.15', 5001)",1752156380.7226105
7,48.66504907608032,S,"('192.168.0.15', 5001)",1752156381.6982117
8,107.23930191993713,S,"('192.168.0.15', 5001)",1752156388.1546042
9,119.31950378417969,S,"('192.168.0.15', 5001)",1752156392.2267585
10,66.6346230506897,S,"('192.168.0.15', 5001)",1752156396.1006987
11,127.4645459651947,S,"('192.168.0.15', 5001)",1752156397.1647878
12,148.2124650478363,S,"('192.168.0.15', 5001)",1752156397.6695762
13,100.56756496429443,S,"('192.168.0.15', 5001)",1752156397.9972482
14,54.56321930885315,S,"('192.168.0.15', 5001)",1752156398.1343274
15,40.39730620384216,S,"('192.168.0.15', 5001)",1752156400.9144893
16,61.82695960998535,S,"('192.168.0.15', 5001)",1752156403.986699
17,36.73933219909668,S,"('192.168.0.15', 5001)",1752156407.9504266
18,81.73171305656433,S,"('192.168.0.15', 5001)",1752156408.1708608
19,73.91415405273438,S,"('192.168.0.15', 5001)",1752156411.7044191
20,75.85018420219421,S,"('192.168.0.15', 5001)",1752156413.411031
21,54.645230531692505,S,"('192.168.0.15', 5001)",1752156415.963922
22,59.89006567001343,S,"('192.168.0.15', 5001)",1752156418.1833725
23,73.37564778327942,S,"('192.168.0.15', 5001)",1752156419.7800648
24,69.56186580657959,S,"('192.168.0.15', 5001)",1752156420.05056
25,71.35979199409485,S,"('192.168.0.15', 5001)",1752156421.4387581
26,99.23014616966248,S,"('192.168.0.15', 5001)",1752156423.0007703
27,74.37687969207764,S,"('192.168.0.15', 5001)",1752156424.3935335
28,83.0332899093628,S,"('192.168.0.15', 5001)",1752156424.4849179
29,86.98107361793518,S,"('192.168.0.15', 5001)",1752156425.5576463
30,50.02020788192749,S,"('192.168.0.15', 5001)",1752156425.7619703
31,109.61153674125671,S,"('192.168.0.15', 5001)",1752156431.390619
