"(3, 15)","(3, 16)","(3, 17)","(3, 18)",eva_count_list
8.974907871347682,9.015484800057218,8.268573555789606,8.47904573283463,1
9.04534496319122,8.80149620616096,8.254516935170077,8.454117836965333,2
8.941135788867763,8.882706274225903,8.317227875086015,8.494005125990068,3
8.844085978595263,9.05700104000367,8.246999443659897,8.510040294278067,4
8.986917293903762,9.017590695353705,8.279715580382172,8.495328592900899,5
8.892301169965222,8.87232001838828,8.266742103421077,8.482211332523956,6
8.92944408625705,8.933355433442914,8.301414746936219,8.532443064829376,7
9.04013332339198,8.985845235578871,8.289681365041062,8.493472610058635,8
8.988057798546249,8.604254198039952,8.286755441825678,8.448320740804856,9
8.947219048870505,8.988790703382975,8.288544307953861,8.510259850576778,10
9.080490915434249,9.001361614403136,8.257722360862937,8.530161388307906,11
8.850802265162415,9.019788066618228,8.298121077361914,8.534092321485083,12
8.991593149179232,8.850122190358853,8.27225345495888,8.489594940675104,13
8.856851285911851,8.947336914543637,8.30521760654902,8.509779601331585,14
8.863338496499386,9.004939378234768,8.276422872632956,8.536022867175028,15
8.984208521062168,9.182589412519345,8.26619278056604,8.499120493351127,16
8.868345221180366,9.060831178215276,8.272426842424956,8.482603479095294,17
8.837222746843235,9.107068161064651,8.370664075742928,8.584644115094893,18
8.97229769480468,8.902700075811513,8.271216252161516,8.573356175093718,19
8.906635425126558,9.016453425189855,8.321421406274691,8.610165545438807,20
8.831760640649621,8.811093902082366,8.310449508933129,8.564353098032962,21
8.914574856069333,8.826148833227453,8.290731467735112,8.563130941277489,22
8.816593484905109,8.996913632334728,8.316721387784474,8.539907409851443,23
8.825825587771227,9.053114606172297,8.308325766383016,8.53384987677283,24
8.80508585323999,8.957833400715625,8.372396920202375,8.629665710573892,25
8.865752711137635,9.074727138520217,8.310402841688827,8.543676085379504,26
8.843333524863151,9.070890039115813,8.357488982616456,8.62171473806988,27
9.037835561924576,9.144326199435028,8.402048025401331,8.52769699015394,28
8.977383145410053,8.954653064365244,8.448268488376707,8.612380970295664,29
9.121012393568956,9.100982362994483,8.389432714412914,8.594948244977255,30
8.93708151622969,9.180559743870367,8.382167623405,8.552065720249457,31
8.810497215584103,8.98674460107807,8.315619941354827,8.570710765144138,32
8.979534771337235,8.759579652642747,8.409041962793626,8.593711707974851,33
8.943468900354146,8.926773355610093,8.476581750043147,8.593169026534822,34
8.958539446559508,8.915654129399124,8.355666146242282,8.611353058753306,35
9.13029055349107,9.05193583969185,8.391389788913695,8.517415182957649,36
